doc_id,title,source,date,total_chunks,avg_chunk_length,min_chunk_length,max_chunk_length
004ceff8eca12a,Russian GRU Exploiting Vulnerable Routers to Steal Sensitive Information,FBI - National,2026-04-07,1,197.0,197,197
004e969ac16541,Former Shallowater ISD Assistant Band Director Indicted for Enticement of a Minor,FBI - National,2026-04-10,1,162.0,162,162
023644b89a1a85,"Honolulu Man Convicted of Child Exploitation Offenses, Including Production of Child Pornography and Sex Trafficking of Children",FBI - National,2026-03-11,1,190.0,190,190
065c409a4152c2,Farmington Resident Pleads Guilty to Distributing and Possessing Child Sexual Abuse Material,FBI - National,2026-03-03,1,167.0,167,167
074e47025b3225,Former Ohkay Owingeh Police Officer Pleads Guilty to Obstruction of Justice,FBI - National,2026-04-10,1,154.0,154,154
0906d2a17df240,New York Man Charged in Multi-State Cargo-Theft Conspiracy,FBI - National,2026-04-07,1,181.0,181,181
0930802f67b734,Nantucket Gang Associate Sentenced to Prison for Dealing Fentanyl and Cocaine in Nantucket and Elsewhere,FBI - National,2026-03-09,1,155.0,155,155
093e3daa67d2be,Colombian National Sentenced to 42 Months in Federal Prison for Role in Nationwide Jewelry Theft Ring,FBI - National,2026-03-05,1,160.0,160,160
095274b9dea6f9,New Jersey Man Pleads Guilty to Scheme Designed to Obtain Fraudulent Visas to Bring Aliens to the U.S. for Unlawful Fundraising,FBI - National,2026-04-16,1,153.0,153,153
096f4092279fe4,"Former CEO of Chicago Charter School Network Charged with Misappropriating More Than $103,000",FBI - National,2026-04-15,1,171.0,171,171
09e6c809d98c8c,Be Aware of No Drone Zone at Coors Field on Game Days,FBI - National,2026-04-16,1,152.0,152,152
0ac371ca65b83f,Russian Citizen Charged with Laundering Over $1.2M Connected to $400M in Fraudulent Medicare Claims,FBI - National,2026-03-05,1,153.0,153,153
0cc57dc90db051,Georgia Man Charged with Transmitting Threat to South Florida Victim,FBI - National,2026-03-09,1,156.0,156,156
0d2c734932af9f,Topeka Man Uses Federal Grant Funds as Shopping Money,FBI - National,2026-04-08,1,151.0,151,151
0d7b028e69ac54,Harrison County Man Indicted on Charges of Threatening the President and ICE,FBI - National,2026-03-04,1,168.0,168,168
0e49d615031633,"Faith, South Dakota, Man Found Guilty After Trial of First-Degree Burglary",FBI - National,2026-04-09,1,165.0,165,165
0eeac21bc9a140,Virginia Man Charged with Illegally Selling the Firearm Used in the Campus Shooting at Old Dominion University,FBI - National,2026-03-13,1,281.0,281,281
0fad2b220bbe82,Love County Resident Sentenced for Possessing Child Sexual Exploitation Material,FBI - National,2026-04-08,1,171.0,171,171
10772b2eef63ad,Federal Jury Convicts Inmate Serving Life Sentence in Violent Kidnaping of Rideshare Driver During Escape from Georgia Custody,FBI - National,2026-03-11,1,153.0,153,153
11aa8cbe642078,Sixteen-Time Waterloo Felon Sentenced to Over Two Decades in Federal Prison for Distributing Fatal Dose of Fentanyl,FBI - National,2026-04-07,1,192.0,192,192
12669dd51ad008,Webster Man Pleads Guilty to Building and Detonating Pipe Bombs in Weare,FBI - National,2026-04-10,1,159.0,159,159
14acda69fa33dc,Pine Ridge Woman Sentenced to Over 19 Years in Federal Prison for Conspiring to Distribute Fentanyl and Methamphetamine in Rapid City and in the Pine Ridge Reservation,FBI - National,2026-04-09,1,162.0,162,162
16c2512e04ac78,"Second Defendant Linked to Drug Trafficking in Notorious ""Jungle"" Homeless Camp Sentenced to Prison",FBI - National,2026-04-15,1,155.0,155,155
17265e9db0a25d,FCI Aliceville Correctional Officer Indicted for Sexual Assault of Inmates,FBI - National,2026-03-04,1,187.0,187,187
18901a56d7e08e,Three Family Members Plead Guilty to Smuggling Drugs Into Prison,FBI - National,2026-04-10,1,197.0,197,197
199714fbc3132d,Former Quincy Official Pleads Guilty to Embezzling City Funds,FBI - National,2026-03-09,1,180.0,180,180
1b05a23063e5d0,Harrisburg Man Sentenced to Prison for Selling Cocaine,FBI - National,2026-03-06,1,190.0,190,190
1b2c3f8bf9002f,"Man Admits to Feloniously Using His Vehicle to Impede, Intimidate, and Interfere with the Work of Federal Immigration Agents During Operation Midway Blitz",FBI - National,2026-04-16,1,172.0,172,172
1b9762d0153113,"FBI Atlanta, Indonesian Authorities Take Down Global Phishing Network Behind Millions in Fraud Attempts",FBI - National,2026-04-10,1,302.0,302,302
1bef6a4674af21,Kansas Doctor Sentenced to Three Years in Prison for $8 Million Medicare Fraud,FBI - National,2026-03-06,1,168.0,168,168
1f9964597b3bc6,Owner of Durable Medical Equipment Company Sentenced for $59M Medicare Fraud,FBI - National,2026-03-09,1,175.0,175,175
206fb169c8c16b,First Defendant Sentenced for Scheme to Bribe Feeding Our Future Juror,FBI - National,2026-03-05,1,167.0,167,167
24d012fb7c9868,"Bridgeport Man Sentenced to More Than Eight Years in Prison for Gunpoint Robberies of Retail Stores, Amazon Delivery Truck",FBI - National,2026-03-12,1,151.0,151,151
26e697f3173de0,"Jalen Smith Pleads Guilty to Bribery and Point-Shaving Scheme to Fix NCAA, CBA Men’s Basketball Games",FBI - National,2026-03-06,1,206.0,206,206
27c344c877d76f,FBI and West Milwaukee Police Department Ask for Public’s Assistance to Identify Bank Robber,FBI - National,2026-04-08,1,158.0,158,158
28ecb4d840b33a,"New Castle Woman Sentenced to Two-and-a-Half Years in Prison for Fentanyl, Heroin, and Cocaine Trafficking",FBI - National,2026-04-16,1,174.0,174,174
29374d654a16fd,Warrant Issued for Permanent Resident From Nigeria for Failure to Report to Federal Prison,FBI - National,2026-04-15,1,155.0,155,155
2937879f4ce73c,Former Pagan’s Motorcycle Gang Member Sentenced to 80 Months for Assault Against Rival,FBI - National,2026-03-12,1,156.0,156,156
2a722dd35bc158,St. Louis Area Fentanyl and Methamphetamine Distributor Sentenced to 19 Years in Prison,FBI - National,2026-03-10,1,159.0,159,159
2b1e21da326d8c,"Former Robeson County Sheriff’s Deputy and Family Plead Guilty to Stealing Over $542,000 in Fraudulent COVID Loans",FBI - National,2026-03-12,1,155.0,155,155
2bcdd14bb9316d,FBI Warns Kentuckians to Beware of Scammers Impersonating Law Enforcement and Government Officials,FBI - National,2026-03-18,1,264.0,264,264
