fincen_id,title,doc_type,date,total_chunks,avg_chunk_length,min_chunk_length,max_chunk_length
FIN-2020-A008,FinCEN Advisory FIN-2020-A008,Advisory,10/15/2020,30,1187.1333333333334,827,1200
FIN-2020-A009,FinCEN Advisory FIN-2020-A009,Advisory,11/06/2020,11,1119.3636363636363,319,1200
FIN-2021-A001,FinCEN Advisory FIN-2021-A001,Advisory,02/02/2021,19,1191.578947368421,1044,1200
FIN-2021-A002,FinCEN Advisory FIN-2021-A002,Advisory,02/24/2021,15,1133.1333333333334,201,1200
FIN-2021-A003,FinCEN Advisory FIN-2021-A003,Advisory,03/11/2021,15,1126.8,153,1200
FIN-2021-A004,FinCEN Advisory FIN-2021-A004,Advisory,11/08/2021,31,1172.8064516129032,364,1200
FIN-2022-A001,FinCEN Advisory FIN-2022-A001,Advisory,04/14/2022,38,1176.8684210526317,331,1200
FIN-2022-A002,FinCEN Advisory FIN-2022-A002,Advisory,06/15/2022,46,1193.5434782608695,920,1200
FIN-2022-Alert001,FIN-2022-Alert001,Alert,03/07/2022,30,1173.9,422,1200
FIN-2022-Alert002,FIN-2022-Alert002,Alert,03/16/2022,34,1177.2941176470588,437,1200
FIN-2022-Alert003,FIN-2022-Alert003,Alert,06/28/2022,29,1184.0,741,1200
FIN-2023-Alert001,FIN-2023-Alert001,Alert,01/13/2023,31,1195.516129032258,1073,1200
FIN-2023-Alert002,FIN-2023-Alert002,Alert,01/25/2023,31,1196.8709677419354,1113,1200
FIN-2023-Alert003,FIN-2023-Alert003,Alert,02/27/2023,20,1185.0,905,1200
FIN-2023-Alert004,FIN-2023-Alert004,Alert,05/19/2023,38,1198.1052631578948,1134,1200
FIN-2023-Alert005,FIN-2023-Alert005,Alert,09/08/2023,25,1165.04,331,1200
FIN-2023-Alert006,FIN-2023-Alert006,Alert,10/20/2023,9,1111.3333333333333,405,1200
FIN-2023-Alert007,FIN-2023-Alert007,Alert,11/22/2023,32,1184.1875,704,1200
FIN-2023-NTC1,FIN-2023-NTC1,Notice,08/15/2023,25,1185.84,860,1200
FIN-2023-NTC2,FIN-2023-NTC2,Notice,11/06/2023,24,1171.25,519,1200
FIN-2024-A001,FinCEN Advisory FIN-2024-A001,Advisory,05/08/2024,60,1185.6333333333334,351,1200
FIN-2024-A002,FinCEN Advisory FIN-2024-A002,Advisory,06/20/2024,48,1182.3958333333333,368,1200
FIN-2024-Alert001,FIN-2024-Alert001,Alert,02/01/2024,6,1062.6666666666667,377,1200
FIN-2024-Alert002,FIN-2024-Alert002,Alert,07/11/2024,12,1138.25,462,1200
FIN-2024-Alert003,FIN-2024-Alert003,Alert,10/23/2024,24,1176.25,634,1200
FIN-2024-Alert004,FIN-2024-Alert004,Alert,11/13/2024,19,1182.578947368421,878,1200
FIN-2024-Alert005,FIN-2024-Alert005,Alert,12/18/2024,27,1188.8148148148148,905,1200
FIN-2024-NTC1,FIN-2024-NTC1,Notice,04/15/2024,28,1164.75,221,1200
FIN-2024-NTC2,FIN-2024-NTC2,Notice,07/16/2024,42,1180.547619047619,395,1200
FIN-2025-A001,FinCEN Advisory FIN-2025-A001,Advisory,04/01/2025,47,1197.0,1075,1200
FIN-2025-A002,FinCEN Advisory FIN-2025-A002,Advisory,06/06/2025,49,1198.6122448979593,1150,1200
FIN-2025-A003,FinCEN Advisory FIN-2025-A003,Advisory,08/28/2025,44,1196.909090909091,1080,1200
FIN-2025-Alert001,FIN-2025-Alert001,Alert,03/31/2025,19,1167.7368421052631,595,1200
FIN-2025-Alert002,FIN-2025-Alert002,Alert,05/01/2025,39,1175.2820512820513,245,1200
FIN-2025-Alert003,FIN-2025-Alert003,Alert,11/28/2025,5,1048.0,442,1200
FIN-2025-CTA1,FIN-2025-CTA1,Notice,02/18/2025,4,1013.0,452,1200
FIN-2025-NTC001,FIN-2025-NTC001,Notice,08/04/2025,33,1176.6969696969697,440,1200
FIN-2025-NTC2,FIN-2025-NTC2,Notice,09/08/2025,33,1177.8181818181818,479,1200
FIN-2026-A001,FinCEN Advisory FIN-2026-A001,Advisory,03/30/2026,47,1184.531914893617,487,1200
FIN-2026-Alert001,FIN-2026-Alert001,Alert,01/09/2026,13,1168.923076923077,800,1200
