fincen_id,title,doc_type,date,source_page,pdf_url
FIN-2020-A008,FinCEN Advisory FIN-2020-A008,Advisory,10/15/2020,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2020-a008,https://www.fincen.gov/system/files/advisory/2020-10-15/Advisory%20Human%20Trafficking%20508%20FINAL_0.pdf
FIN-2020-A009,FinCEN Advisory FIN-2020-A009,Advisory,11/06/2020,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2020-a009,https://www.fincen.gov/system/files/advisory/2020-11-06/FATF%20October%202020%20Advisory%20FINAL%20508.pdf
FIN-2021-A001,FinCEN Advisory FIN-2021-A001,Advisory,02/02/2021,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2021-a001,https://www.fincen.gov/system/files/advisory/2021-02-02/COVID-19%20Health%20Care%20508%20Final.pdf
FIN-2021-A002,FinCEN Advisory FIN-2021-A002,Advisory,02/24/2021,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2021-a002,https://www.fincen.gov/system/files/advisory/2021-02-25/Advisory%20EIP%20FINAL%20508.pdf
FIN-2021-A003,FinCEN Advisory FIN-2021-A003,Advisory,03/11/2021,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2021-a003,https://www.fincen.gov/system/files/advisory/2021-03-11/FATF%20February%202021%20Advisory%20FINAL%20508.pdf
FIN-2021-A004,FinCEN Advisory FIN-2021-A004,Advisory,11/08/2021,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2021-a004,https://www.fincen.gov/system/files/advisory/2021-11-08/FinCEN%20Ransomware%20Advisory_FINAL_508_.pdf
FIN-2022-A001,FinCEN Advisory FIN-2022-A001,Advisory,04/14/2022,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2022-a001,https://www.fincen.gov/system/files/advisory/2022-04-14/FinCEN%20Advisory%20Corruption%20FINAL%20508.pdf
FIN-2022-A002,FinCEN Advisory FIN-2022-A002,Advisory,06/15/2022,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2022-a002,https://www.fincen.gov/system/files/advisory/2022-06-15/FinCEN%20Advisory%20Elder%20Financial%20Exploitation%20FINAL%20508.pdf
FIN-2024-A001,FinCEN Advisory FIN-2024-A001,Advisory,05/08/2024,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2024-a001,https://www.fincen.gov/system/files/advisory/2024-05-07/FinCEN-Advisory-Iran-Backed-TF-508C.pdf
FIN-2024-A002,FinCEN Advisory FIN-2024-A002,Advisory,06/20/2024,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2024-a002,https://www.fincen.gov/system/files/advisory/2024-06-20/FinCEN-Supplemental-Advisory-on-Fentanyl-508C.pdf
FIN-2025-A001,FinCEN Advisory FIN-2025-A001,Advisory,04/01/2025,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2025-a001,https://www.fincen.gov/system/files/advisory/2025-04-01/FinCEN-Advisory-ISIS-508C.pdf
FIN-2025-A002,FinCEN Advisory FIN-2025-A002,Advisory,06/06/2025,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2025-a002,https://www.fincen.gov/system/files/FinCEN-Advisory-Illicit-Oil-Smuggling-508.pdf
FIN-2025-A003,FinCEN Advisory FIN-2025-A003,Advisory,08/28/2025,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2025-a003,https://www.fincen.gov/system/files/2025-08/FinCEN-Advisory-CMLN-508.pdf
FIN-2026-A001,FinCEN Advisory FIN-2026-A001,Advisory,03/30/2026,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2026-a001,https://www.fincen.gov/system/files/2026-03/FinCEN-Advisory-Health-Care-Fraud.pdf
