fincen_id,title,doc_type,date,source_page,pdf_url
FIN-2026-Alert001,FIN-2026-Alert001,Alert,01/09/2026,https://www.fincen.gov/system/files/2026-01/FinCEN-Alert-Federal-Child-Nutrition-Programs.pdf,https://www.fincen.gov/system/files/2026-01/FinCEN-Alert-Federal-Child-Nutrition-Programs.pdf
FIN-2023-Alert001,FIN-2023-Alert001,Alert,01/13/2023,https://www.fincen.gov/system/files/shared/FinCEN Alert Human Smuggling FINAL_508.pdf,https://www.fincen.gov/system/files/shared/FinCEN Alert Human Smuggling FINAL_508.pdf
FIN-2023-Alert002,FIN-2023-Alert002,Alert,01/25/2023,https://www.fincen.gov/system/files/shared/FinCEN%20Alert%20Real%20Estate%20FINAL%20508_1-25-23%20FINAL%20FINAL.pdf,https://www.fincen.gov/system/files/shared/FinCEN%20Alert%20Real%20Estate%20FINAL%20508_1-25-23%20FINAL%20FINAL.pdf
FIN-2024-Alert001,FIN-2024-Alert001,Alert,02/01/2024,https://www.fincen.gov/system/files/shared/FinCEN-Alert-Extremist-Violence-FINAL508-rescinded.pdf,https://www.fincen.gov/system/files/shared/FinCEN-Alert-Extremist-Violence-FINAL508-rescinded.pdf
FIN-2023-Alert003,FIN-2023-Alert003,Alert,02/27/2023,https://www.fincen.gov/system/files/shared/FinCEN Alert Mail Theft-Related Check Fraud FINAL 508.pdf,https://www.fincen.gov/system/files/shared/FinCEN Alert Mail Theft-Related Check Fraud FINAL 508.pdf
FIN-2022-Alert001,FIN-2022-Alert001,Alert,03/07/2022,https://www.fincen.gov/system/files/2022-03/FinCEN%20Alert%20Russian%20Sanctions%20Evasion%20FINAL%20508.pdf,https://www.fincen.gov/system/files/2022-03/FinCEN%20Alert%20Russian%20Sanctions%20Evasion%20FINAL%20508.pdf
FIN-2022-Alert002,FIN-2022-Alert002,Alert,03/16/2022,https://www.fincen.gov/system/files/2022-03/FinCEN%20Alert%20Russian%20Elites%20High%20Value%20Assets_508%20FINAL.pdf,https://www.fincen.gov/system/files/2022-03/FinCEN%20Alert%20Russian%20Elites%20High%20Value%20Assets_508%20FINAL.pdf
FIN-2025-Alert001,FIN-2025-Alert001,Alert,03/31/2025,https://www.fincen.gov/system/files/shared/BCS-Alert-FINAL-508C.pdf,https://www.fincen.gov/system/files/shared/BCS-Alert-FINAL-508C.pdf
FIN-2025-Alert002,FIN-2025-Alert002,Alert,05/01/2025,https://www.fincen.gov/system/files/shared/FinCEN-Alert-Oil-Smuggling-FINAL-508C.pdf,https://www.fincen.gov/system/files/shared/FinCEN-Alert-Oil-Smuggling-FINAL-508C.pdf
FIN-2023-Alert004,FIN-2023-Alert004,Alert,05/19/2023,https://www.fincen.gov/system/files/shared/FinCEN%20and%20BIS%20Joint%20Alert%20_FINAL_508C.pdf,https://www.fincen.gov/system/files/shared/FinCEN%20and%20BIS%20Joint%20Alert%20_FINAL_508C.pdf
FIN-2022-Alert003,FIN-2022-Alert003,Alert,06/28/2022,https://www.fincen.gov/system/files/2022-06/FinCEN%20and%20Bis%20Joint%20Alert%20FINAL.pdf,https://www.fincen.gov/system/files/2022-06/FinCEN%20and%20Bis%20Joint%20Alert%20FINAL.pdf
FIN-2024-Alert002,FIN-2024-Alert002,Alert,07/11/2024,https://www.fincen.gov/system/files/shared/FinCEN-Alert-West-Bank-FINAL-508C-rescinded.pdf,https://www.fincen.gov/system/files/shared/FinCEN-Alert-West-Bank-FINAL-508C-rescinded.pdf
FIN-2023-Alert005,FIN-2023-Alert005,Alert,09/08/2023,https://www.fincen.gov/system/files/shared/FinCEN_Alert_Pig_Butchering_FINAL_508c.pdf,https://www.fincen.gov/system/files/shared/FinCEN_Alert_Pig_Butchering_FINAL_508c.pdf
FIN-2023-Alert006,FIN-2023-Alert006,Alert,10/20/2023,https://www.fincen.gov/system/files/2025-09/FinCEN_Alert_Terrorist_Financing_proof1.pdf,https://www.fincen.gov/system/files/2025-09/FinCEN_Alert_Terrorist_Financing_proof1.pdf
FIN-2024-Alert003,FIN-2024-Alert003,Alert,10/23/2024,https://www.fincen.gov/system/files/shared/FinCEN-Alert-Hizballah-Alert-508C.pdf,https://www.fincen.gov/system/files/shared/FinCEN-Alert-Hizballah-Alert-508C.pdf
FIN-2024-Alert004,FIN-2024-Alert004,Alert,11/13/2024,https://www.fincen.gov/system/files/shared/FinCEN-Alert-DeepFakes-Alert508FINAL.pdf,https://www.fincen.gov/system/files/shared/FinCEN-Alert-DeepFakes-Alert508FINAL.pdf
FIN-2023-Alert007,FIN-2023-Alert007,Alert,11/22/2023,https://www.fincen.gov/system/files/shared/FinCEN_ERC_Fraud_Alert_FINAL508.pdf,https://www.fincen.gov/system/files/shared/FinCEN_ERC_Fraud_Alert_FINAL508.pdf
FIN-2025-Alert003,FIN-2025-Alert003,Alert,11/28/2025,https://www.fincen.gov/system/files/FinCEN_Alert_Cross_Border_FINAL508.pdf,https://www.fincen.gov/system/files/FinCEN_Alert_Cross_Border_FINAL508.pdf
FIN-2024-Alert005,FIN-2024-Alert005,Alert,12/18/2024,https://www.fincen.gov/system/files/2024-12/Alert-FinCEN-Scams-FINAL508.pdf,https://www.fincen.gov/system/files/2024-12/Alert-FinCEN-Scams-FINAL508.pdf
