fincen_id,title,doc_type,date,source_page,pdf_url
FIN-2026-Alert001,FIN-2026-Alert001,Alert,01/09/2026,https://www.fincen.gov/system/files/2026-01/FinCEN-Alert-Federal-Child-Nutrition-Programs.pdf,https://www.fincen.gov/system/files/2026-01/FinCEN-Alert-Federal-Child-Nutrition-Programs.pdf
FIN-2023-Alert001,FIN-2023-Alert001,Alert,01/13/2023,https://www.fincen.gov/system/files/shared/FinCEN Alert Human Smuggling FINAL_508.pdf,https://www.fincen.gov/system/files/shared/FinCEN Alert Human Smuggling FINAL_508.pdf
FIN-2023-Alert002,FIN-2023-Alert002,Alert,01/25/2023,https://www.fincen.gov/system/files/shared/FinCEN%20Alert%20Real%20Estate%20FINAL%20508_1-25-23%20FINAL%20FINAL.pdf,https://www.fincen.gov/system/files/shared/FinCEN%20Alert%20Real%20Estate%20FINAL%20508_1-25-23%20FINAL%20FINAL.pdf
FIN-2024-Alert001,FIN-2024-Alert001,Alert,02/01/2024,https://www.fincen.gov/system/files/shared/FinCEN-Alert-Extremist-Violence-FINAL508-rescinded.pdf,https://www.fincen.gov/system/files/shared/FinCEN-Alert-Extremist-Violence-FINAL508-rescinded.pdf
FIN-2021-A001,FinCEN Advisory FIN-2021-A001,Advisory,02/02/2021,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2021-a001,https://www.fincen.gov/system/files/advisory/2021-02-02/COVID-19%20Health%20Care%20508%20Final.pdf
FIN-2025-CTA1,FIN-2025-CTA1,Notice,02/18/2025,https://www.fincen.gov/system/files/shared/FinCEN-BOI-Notice-Deadline-Extension-508FINAL.pdf,https://www.fincen.gov/system/files/shared/FinCEN-BOI-Notice-Deadline-Extension-508FINAL.pdf
FIN-2021-A002,FinCEN Advisory FIN-2021-A002,Advisory,02/24/2021,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2021-a002,https://www.fincen.gov/system/files/advisory/2021-02-25/Advisory%20EIP%20FINAL%20508.pdf
FIN-2023-Alert003,FIN-2023-Alert003,Alert,02/27/2023,https://www.fincen.gov/system/files/shared/FinCEN Alert Mail Theft-Related Check Fraud FINAL 508.pdf,https://www.fincen.gov/system/files/shared/FinCEN Alert Mail Theft-Related Check Fraud FINAL 508.pdf
FIN-2022-Alert001,FIN-2022-Alert001,Alert,03/07/2022,https://www.fincen.gov/system/files/2022-03/FinCEN%20Alert%20Russian%20Sanctions%20Evasion%20FINAL%20508.pdf,https://www.fincen.gov/system/files/2022-03/FinCEN%20Alert%20Russian%20Sanctions%20Evasion%20FINAL%20508.pdf
FIN-2021-A003,FinCEN Advisory FIN-2021-A003,Advisory,03/11/2021,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2021-a003,https://www.fincen.gov/system/files/advisory/2021-03-11/FATF%20February%202021%20Advisory%20FINAL%20508.pdf
FIN-2022-Alert002,FIN-2022-Alert002,Alert,03/16/2022,https://www.fincen.gov/system/files/2022-03/FinCEN%20Alert%20Russian%20Elites%20High%20Value%20Assets_508%20FINAL.pdf,https://www.fincen.gov/system/files/2022-03/FinCEN%20Alert%20Russian%20Elites%20High%20Value%20Assets_508%20FINAL.pdf
FIN-2026-A001,FinCEN Advisory FIN-2026-A001,Advisory,03/30/2026,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2026-a001,https://www.fincen.gov/system/files/2026-03/FinCEN-Advisory-Health-Care-Fraud.pdf
FIN-2025-Alert001,FIN-2025-Alert001,Alert,03/31/2025,https://www.fincen.gov/system/files/shared/BCS-Alert-FINAL-508C.pdf,https://www.fincen.gov/system/files/shared/BCS-Alert-FINAL-508C.pdf
FIN-2025-A001,FinCEN Advisory FIN-2025-A001,Advisory,04/01/2025,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2025-a001,https://www.fincen.gov/system/files/advisory/2025-04-01/FinCEN-Advisory-ISIS-508C.pdf
FIN-2022-A001,FinCEN Advisory FIN-2022-A001,Advisory,04/14/2022,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2022-a001,https://www.fincen.gov/system/files/advisory/2022-04-14/FinCEN%20Advisory%20Corruption%20FINAL%20508.pdf
FIN-2024-NTC1,FIN-2024-NTC1,Notice,04/15/2024,https://www.fincen.gov/system/files/shared/FinCEN_Notice_Counterfeit_US_Passport_FINAL508.pdf,https://www.fincen.gov/system/files/shared/FinCEN_Notice_Counterfeit_US_Passport_FINAL508.pdf
FIN-2025-Alert002,FIN-2025-Alert002,Alert,05/01/2025,https://www.fincen.gov/system/files/shared/FinCEN-Alert-Oil-Smuggling-FINAL-508C.pdf,https://www.fincen.gov/system/files/shared/FinCEN-Alert-Oil-Smuggling-FINAL-508C.pdf
FIN-2024-A001,FinCEN Advisory FIN-2024-A001,Advisory,05/08/2024,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2024-a001,https://www.fincen.gov/system/files/advisory/2024-05-07/FinCEN-Advisory-Iran-Backed-TF-508C.pdf
FIN-2023-Alert004,FIN-2023-Alert004,Alert,05/19/2023,https://www.fincen.gov/system/files/shared/FinCEN%20and%20BIS%20Joint%20Alert%20_FINAL_508C.pdf,https://www.fincen.gov/system/files/shared/FinCEN%20and%20BIS%20Joint%20Alert%20_FINAL_508C.pdf
FIN-2025-A002,FinCEN Advisory FIN-2025-A002,Advisory,06/06/2025,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2025-a002,https://www.fincen.gov/system/files/FinCEN-Advisory-Illicit-Oil-Smuggling-508.pdf
FIN-2022-A002,FinCEN Advisory FIN-2022-A002,Advisory,06/15/2022,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2022-a002,https://www.fincen.gov/system/files/advisory/2022-06-15/FinCEN%20Advisory%20Elder%20Financial%20Exploitation%20FINAL%20508.pdf
FIN-2024-A002,FinCEN Advisory FIN-2024-A002,Advisory,06/20/2024,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2024-a002,https://www.fincen.gov/system/files/advisory/2024-06-20/FinCEN-Supplemental-Advisory-on-Fentanyl-508C.pdf
FIN-2022-Alert003,FIN-2022-Alert003,Alert,06/28/2022,https://www.fincen.gov/system/files/2022-06/FinCEN%20and%20Bis%20Joint%20Alert%20FINAL.pdf,https://www.fincen.gov/system/files/2022-06/FinCEN%20and%20Bis%20Joint%20Alert%20FINAL.pdf
FIN-2024-Alert002,FIN-2024-Alert002,Alert,07/11/2024,https://www.fincen.gov/system/files/shared/FinCEN-Alert-West-Bank-FINAL-508C-rescinded.pdf,https://www.fincen.gov/system/files/shared/FinCEN-Alert-West-Bank-FINAL-508C-rescinded.pdf
FIN-2024-NTC2,FIN-2024-NTC2,Notice,07/16/2024,https://www.fincen.gov/system/files/shared/FinCEN-Joint-Notice-Timeshare-Mexico-508C-FINAL.pdf,https://www.fincen.gov/system/files/shared/FinCEN-Joint-Notice-Timeshare-Mexico-508C-FINAL.pdf
FIN-2025-NTC001,FIN-2025-NTC001,Notice,08/04/2025,https://www.fincen.gov/system/files/2025-08/FinCEN-Notice-CVCKIOSK.pdf,https://www.fincen.gov/system/files/2025-08/FinCEN-Notice-CVCKIOSK.pdf
FIN-2023-NTC1,FIN-2023-NTC1,Notice,08/15/2023,https://www.fincen.gov/system/files/2025-09/FinCEN_Notice_Payroll_Tax_Evasion_and_Workers_Comp_508.pdf,https://www.fincen.gov/system/files/2025-09/FinCEN_Notice_Payroll_Tax_Evasion_and_Workers_Comp_508.pdf
FIN-2025-A003,FinCEN Advisory FIN-2025-A003,Advisory,08/28/2025,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2025-a003,https://www.fincen.gov/system/files/2025-08/FinCEN-Advisory-CMLN-508.pdf
FIN-2023-Alert005,FIN-2023-Alert005,Alert,09/08/2023,https://www.fincen.gov/system/files/shared/FinCEN_Alert_Pig_Butchering_FINAL_508c.pdf,https://www.fincen.gov/system/files/shared/FinCEN_Alert_Pig_Butchering_FINAL_508c.pdf
FIN-2025-NTC2,FIN-2025-NTC2,Notice,09/08/2025,https://www.fincen.gov/system/files/2025-09/FinCEN-Notice-FMS-508C.pdf,https://www.fincen.gov/system/files/2025-09/FinCEN-Notice-FMS-508C.pdf
FIN-2020-A008,FinCEN Advisory FIN-2020-A008,Advisory,10/15/2020,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2020-a008,https://www.fincen.gov/system/files/advisory/2020-10-15/Advisory%20Human%20Trafficking%20508%20FINAL_0.pdf
FIN-2023-Alert006,FIN-2023-Alert006,Alert,10/20/2023,https://www.fincen.gov/system/files/2025-09/FinCEN_Alert_Terrorist_Financing_proof1.pdf,https://www.fincen.gov/system/files/2025-09/FinCEN_Alert_Terrorist_Financing_proof1.pdf
FIN-2024-Alert003,FIN-2024-Alert003,Alert,10/23/2024,https://www.fincen.gov/system/files/shared/FinCEN-Alert-Hizballah-Alert-508C.pdf,https://www.fincen.gov/system/files/shared/FinCEN-Alert-Hizballah-Alert-508C.pdf
FIN-2020-A009,FinCEN Advisory FIN-2020-A009,Advisory,11/06/2020,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2020-a009,https://www.fincen.gov/system/files/advisory/2020-11-06/FATF%20October%202020%20Advisory%20FINAL%20508.pdf
FIN-2023-NTC2,FIN-2023-NTC2,Notice,11/06/2023,https://www.fincen.gov/system/files/shared/FinCEN_Joint_Notice_US_Export_Controls_FINAL508.pdf,https://www.fincen.gov/system/files/shared/FinCEN_Joint_Notice_US_Export_Controls_FINAL508.pdf
FIN-2021-A004,FinCEN Advisory FIN-2021-A004,Advisory,11/08/2021,https://www.fincen.gov/resources/advisories/fincen-advisory-fin-2021-a004,https://www.fincen.gov/system/files/advisory/2021-11-08/FinCEN%20Ransomware%20Advisory_FINAL_508_.pdf
FIN-2024-Alert004,FIN-2024-Alert004,Alert,11/13/2024,https://www.fincen.gov/system/files/shared/FinCEN-Alert-DeepFakes-Alert508FINAL.pdf,https://www.fincen.gov/system/files/shared/FinCEN-Alert-DeepFakes-Alert508FINAL.pdf
FIN-2023-Alert007,FIN-2023-Alert007,Alert,11/22/2023,https://www.fincen.gov/system/files/shared/FinCEN_ERC_Fraud_Alert_FINAL508.pdf,https://www.fincen.gov/system/files/shared/FinCEN_ERC_Fraud_Alert_FINAL508.pdf
FIN-2025-Alert003,FIN-2025-Alert003,Alert,11/28/2025,https://www.fincen.gov/system/files/FinCEN_Alert_Cross_Border_FINAL508.pdf,https://www.fincen.gov/system/files/FinCEN_Alert_Cross_Border_FINAL508.pdf
FIN-2024-Alert005,FIN-2024-Alert005,Alert,12/18/2024,https://www.fincen.gov/system/files/2024-12/Alert-FinCEN-Scams-FINAL508.pdf,https://www.fincen.gov/system/files/2024-12/Alert-FinCEN-Scams-FINAL508.pdf
