doc_id,date,published_year,published_month,source,fraud_tags,fraud_signals,title,url,body_1,body_short,body_length
0edf3435a639a2,2026-04-22,2026,4,FTC Consumer Advice - Consumer Alerts,"[""consumer_fraud"", ""identity_fraud""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}","Say “no, thanks” to unexpected offers to lower your credit card interest rate",https://consumer.ftc.gov/consumer-alerts/2026/04/say-no-thanks-unexpected-offers-lower-your-credit-card-interest-rate,"If a company calls you unexpectedly and offers to help lower your credit card interest rate, say “no, thanks.” It’s probably a scammer hoping you’ll pay them for shortcuts that don’t really exist. Here’s how to spot and avoid scams that promise to help lower your credit card interest rate. Scammy debt relief companies promise to help reduce your debt, but what they really want is your money. They charge you an upfront fee before they help. But that’s illegal and along with getting little to no help, you could wind up in even more debt. Some scammers use information they already have — like the last four digits of your Social Security number, your zip code, or your exact credit card balance — to get you to trust them and share more information. Others say their rates are only available for a limited time, to rush you into deciding. This is all part of the scam. Follow these steps to avoid scams: Don’t share personal information with anyone who calls you unexpectedly. Once a scammer has your information , they might use it to commit other crimes. Never pay up front. It’s illegal for a debt relief company to charge you before they help you. That includes paying in advance for services to lower your credit card’s interest rate. Make a plan to avoid scams. Print this Action Plan and keep it nearby to help you spot the scams more easily and get real help if you need it. While there are no guarantees, you might be able to get a lower credit card interest rate by asking yourself. Contact your credit card company directly and ask how to qualify for a lower interest rate. Learn more about scams and identity theft at consumer.gov . If you spot a scam, tell the Federal Trade Commission at ReportFraud.ftc.gov .","If a company calls you unexpectedly and offers to help lower your credit card interest rate, say “no, thanks.” It’s probably a scammer hoping you’ll pay them for shortcuts that don’t really exist. Here’s how to spot and avoid scams that promise to help lower your credit card interest rate. Scammy debt relief companies promise to help reduce your debt, but what they really want is your money. They charge you an upfront fee before they help. But that’s illegal and along with getting little to no help, you could wind up in even more debt. Some scammers use information they already have — like the last four digits of your Social Security number, your zip code, or your exact credit card balance — to get you to trust them and share more information. Others say their rates are only available for a limited time, to rush you into deciding. This is all part of the scam. Follow these steps to avoid scams: Don’t share personal information with anyone who calls you unexpectedly. Once a scammer has ",1727
3eec08a585f798,2026-04-20,2026,4,FTC Consumer Advice - Consumer Alerts,"[""other""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}",Did you buy tickets on StubHub between May 12-14 last year?,https://consumer.ftc.gov/consumer-alerts/2026/04/did-you-buy-tickets-stubhub-between-may-12-14-last-year,"If you bought tickets on StubHub between May 12 and 14, 2025, you may be getting some of your money back. The FTC recently sued the company for allegedly not displaying the total price (including mandatory fees) of live-event tickets it sold during those dates. And now, StubHub will pay $10 million in refunds to eligible customers. If you’re eligible, there’s no action you need to take. Eligible consumers will get an email notice from StubHub with additional information including a phone number and website. Within 90 days, StubHub will automatically refund certain fees to eligible consumers who bought tickets for live events in the U.S. between May 12 and 14, 2025. Anyone selling tickets to live events (or offering short-term lodging) has to be upfront and tell the truth about the fees they charge. If you think a company’s not playing by the rules, tell the FTC: ReportFraud.ftc.gov .","If you bought tickets on StubHub between May 12 and 14, 2025, you may be getting some of your money back. The FTC recently sued the company for allegedly not displaying the total price (including mandatory fees) of live-event tickets it sold during those dates. And now, StubHub will pay $10 million in refunds to eligible customers. If you’re eligible, there’s no action you need to take. Eligible consumers will get an email notice from StubHub with additional information including a phone number and website. Within 90 days, StubHub will automatically refund certain fees to eligible consumers who bought tickets for live events in the U.S. between May 12 and 14, 2025. Anyone selling tickets to live events (or offering short-term lodging) has to be upfront and tell the truth about the fees they charge. If you think a company’s not playing by the rules, tell the FTC: ReportFraud.ftc.gov .",896
35c3feb196131d,2026-04-16,2026,4,FTC Consumer Advice - Consumer Alerts,"[""consumer_fraud"", ""crypto_fraud""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}","With people losing big to investment scams, learn how to spot and avoid them",https://consumer.ftc.gov/consumer-alerts/2026/04/people-losing-big-investment-scams-learn-how-spot-and-avoid-them,"You might be interested in making money through investments. Who isn’t? So offers that promise big returns might draw your attention…and scammers know this. They use those promises and clever schemes to lure you in and, unfortunately, people are losing big money on investment scams . In fact, FTC data shows reports of more than $7.9 billion in losses to investment scams, with a median individual loss of more than $10,000 in 2025. Do you know how to spot and avoid investment scams? Scammers might reach you through social media, WhatsApp, or through online ads, promising you’ll make a lot of money quickly. These messages might also come from a friend or love interest offering you “coaching” to learn how to make a fortune in stocks, forex, or cryptocurrency. After you invest, they’ll often say your investments are doing well, maybe even showing fake “proof” that you’re making money. The reality? The investment isn’t real and you end up losing all your money. To avoid an investment scam: Remember that investments always involve risk. If anyone plays down the risk of an investment or acts like risk disclosures are just a formality you don’t need to worry about, keep your money. Those are scammers who want you to think their opportunity is risk-free when it’s not. Check out the reputation of the investment company, its officials, and its promoters. Search online with their name plus words like “review,” “scam,” or “complaint.” Go through several pages of search results . Check for licenses and registrations. Many investment scams start with unlicensed people or unregistered firms, so use the free search tool on Investor.gov to check out anyone recommending or selling investments. For investments in precious metals or coins, check out the CFTC database . Report investment scams to the FTC at ReportFraud.ftc.gov .","You might be interested in making money through investments. Who isn’t? So offers that promise big returns might draw your attention…and scammers know this. They use those promises and clever schemes to lure you in and, unfortunately, people are losing big money on investment scams . In fact, FTC data shows reports of more than $7.9 billion in losses to investment scams, with a median individual loss of more than $10,000 in 2025. Do you know how to spot and avoid investment scams? Scammers might reach you through social media, WhatsApp, or through online ads, promising you’ll make a lot of money quickly. These messages might also come from a friend or love interest offering you “coaching” to learn how to make a fortune in stocks, forex, or cryptocurrency. After you invest, they’ll often say your investments are doing well, maybe even showing fake “proof” that you’re making money. The reality? The investment isn’t real and you end up losing all your money. To avoid an investment scam: R",1837
d977a725754187,2026-04-14,2026,4,FTC Consumer Advice - Consumer Alerts,"[""consumer_fraud"", ""cybercrime""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}",That text about a traffic violation is probably a scam,https://consumer.ftc.gov/consumer-alerts/2026/04/text-about-traffic-violation-probably-scam,"Did you get a text with a picture of what looks like an official notice of a traffic hearing? You’re not alone. The FTC has seen a spike in reports about this text scam in the last month. It’s just the latest story of how scammers are trying to separate people from their money. Here’s how this scam works — and how to avoid it. It starts with a text message with a QR code. The message says you need to scan it to pay for a traffic violation to avoid court. The text might look official with a seal from whatever state it claims to be from and a (fake) case number. It’ll tell you when your (fake) hearing is scheduled — date and time — and will give you two options: go to the (fake) hearing, or pay the fine now. More on that in a minute. Scammers want you to act quickly, so the text will also list bad things that can happen if you don’t respond now: default judgements, fines, enforcement actions. All stuff to scare you into (supposedly) making it all go away by scanning the included QR code to settle your (fake) unpaid balance. If you scan it, they’ll try to steal personal information (like your Social Security or credit card number), download malware on your phone, and steal your money. If you get a text like this, don’t respond, and don’t scan the QR code. If you think the message might be real, check the court’s website for case information or call the court directly — but use a website or phone number you know is correct, not info from the text message. Already paid or gave your information to a scammer? Read What To Do if You Were Scammed to find out what to do next. And tell the FTC at ReportFraud.ftc.gov . Image","Did you get a text with a picture of what looks like an official notice of a traffic hearing? You’re not alone. The FTC has seen a spike in reports about this text scam in the last month. It’s just the latest story of how scammers are trying to separate people from their money. Here’s how this scam works — and how to avoid it. It starts with a text message with a QR code. The message says you need to scan it to pay for a traffic violation to avoid court. The text might look official with a seal from whatever state it claims to be from and a (fake) case number. It’ll tell you when your (fake) hearing is scheduled — date and time — and will give you two options: go to the (fake) hearing, or pay the fine now. More on that in a minute. Scammers want you to act quickly, so the text will also list bad things that can happen if you don’t respond now: default judgements, fines, enforcement actions. All stuff to scare you into (supposedly) making it all go away by scanning the included QR code ",1640
7bffc3ccacc9a9,2026-04-07,2026,4,FTC Consumer Advice - Consumer Alerts,"[""cybercrime""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}",Got a text about expiring reward points? Look closer,https://consumer.ftc.gov/consumer-alerts/2026/04/got-text-about-expiring-reward-points-look-closer,"If you’re signed up for a rewards program, you may have gotten texts warning that your points are expiring soon. A message like that may catch your attention, but people are reporting to the FTC that some of those messages aren’t real — and come from scammers. So how can you tell which messages are real and which are phishing scams? Here’s how these scams work: Scammers say you need to click on a link to save your points or they’ll expire today. But if you click, they’ll try to steal your personal information (like your Social Security or credit card number) or download harmful software on your phone. If you get a text like this, resist the urge to click. Check it out first. Go to the company’s website or app, but find it yourself. Don’t use any links from the text. Then check your rewards points. Are they really expiring? Here are some other ways to protect yourself from phishing scams: Turn on filters on your phone . Adjust your settings, use carrier tools, or try a call-blocking app (some also help with texts) to limit how many unwanted texts you get. Update your phone’s software regularly . Updates often include critical patches and protections against security threats. These can come in handy if you accidentally do click on a phishing link. Report spam . Whether you have an Apple or Android phone, there are steps to report junk or spam.","If you’re signed up for a rewards program, you may have gotten texts warning that your points are expiring soon. A message like that may catch your attention, but people are reporting to the FTC that some of those messages aren’t real — and come from scammers. So how can you tell which messages are real and which are phishing scams? Here’s how these scams work: Scammers say you need to click on a link to save your points or they’ll expire today. But if you click, they’ll try to steal your personal information (like your Social Security or credit card number) or download harmful software on your phone. If you get a text like this, resist the urge to click. Check it out first. Go to the company’s website or app, but find it yourself. Don’t use any links from the text. Then check your rewards points. Are they really expiring? Here are some other ways to protect yourself from phishing scams: Turn on filters on your phone . Adjust your settings, use carrier tools, or try a call-blocking app",1363
ba77679d04bb8c,2026-04-02,2026,4,FTC Consumer Advice - Consumer Alerts,"[""consumer_fraud""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}",Could that mortgage relief offer be a scam?,https://consumer.ftc.gov/consumer-alerts/2026/04/could-mortgage-relief-offer-be-scam,"Life happens and sometimes you end up with trouble paying your mortgage. Maybe you were affected by a natural disaster, lost your job, or got stuck with a bunch of medical bills after an illness. Then, suddenly, you get an unexpected call offering you mortgage relief. But could it be a scam? Mortgage assistance does exist, but scammers try to take advantage of homeowners looking to save their home. The scammers often call unexpectedly, promising to modify your mortgage or give you a way to avoid foreclosure — if you make a payment upfront. But don’t pay. It’s illegal for companies to charge a fee before you get any services. Anyone asking you to pay upfront is giving you a warning that you might be dealing with a mortgage relief scam . Here are more signs of that scam: Scammers tell you to stop communicating with your lender…but you always have the right to contact your lender directly to see if you have other options. Scammers want you to pay them only by cashier’s check, wire transfer , or a mobile payment app because it’s hard to get your money back. Scammers try to convince you to transfer the deed to your home to them. But if you do, you probably won’t get it back. Need help managing your debt? If you don’t have one already, start by making a budget . Use this worksheet to see if you can find ways to spend less money and put the savings towards paying off your debt. Call the companies you owe money to right away. Explain why you’re having trouble paying and ask for a payment plan. Find legitimate help from housing counselors if you’re having trouble paying your mortgage, or find a credit counselor to help make a plan to repay your debt. Tell the FTC about any mortgage relief scams you spot at ReportFraud.ftc.gov and your state attorney general .","Life happens and sometimes you end up with trouble paying your mortgage. Maybe you were affected by a natural disaster, lost your job, or got stuck with a bunch of medical bills after an illness. Then, suddenly, you get an unexpected call offering you mortgage relief. But could it be a scam? Mortgage assistance does exist, but scammers try to take advantage of homeowners looking to save their home. The scammers often call unexpectedly, promising to modify your mortgage or give you a way to avoid foreclosure — if you make a payment upfront. But don’t pay. It’s illegal for companies to charge a fee before you get any services. Anyone asking you to pay upfront is giving you a warning that you might be dealing with a mortgage relief scam . Here are more signs of that scam: Scammers tell you to stop communicating with your lender…but you always have the right to contact your lender directly to see if you have other options. Scammers want you to pay them only by cashier’s check, wire transfe",1780
c47c7e331650e4,2026-03-30,2026,3,FTC Consumer Advice - Consumer Alerts,"[""consumer_fraud"", ""cybercrime""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}",How to handle unexpected calls about unclaimed funds,https://consumer.ftc.gov/consumer-alerts/2026/03/how-handle-unexpected-calls-about-unclaimed-funds,"Did you get a call or text saying you’re eligible for thousands of dollars in unclaimed property? Don’t get excited yet. It might be a scammer looking to steal your money or personal information. Here’s how to avoid that scam — and find out if a government agency has money, stocks, or another asset that belongs to you. When a scammer calls or texts you about unclaimed funds, they might use a real-sounding (but fake) government agency name. To get your attention, they might mention a specific amount you’re (supposedly) entitled to. But this is a phishing scam . If the caller says time is running out, or the text says they’ve extended the claim period just for you, that’s a scam. If the caller asks for personal information, or an upfront “processing” fee to release the funds, that’s a scam. The government won’t call or text and ask you to pay them to search for unclaimed funds. And they won’t pressure you to respond right away. Scammers play on your fear of missing out, hoping you’ll respond now and ask questions later. So, no matter what a call or text says about unclaimed funds: Don’t click links in unexpected texts. State unclaimed property programs won’t text you with alerts about unclaimed property — but a scammer will. Check out your state’s .gov website first. Every state has a process to search for unclaimed funds— for free. Go to unclaimed.org/search to find your state’s unclaimed property office. Report the scam. If you spot a phishing scam like this one, tell the FTC at ReportFraud.ftc.gov . Then, talk about it with a friend to help them spot the scam too. To stay up on the latest scams, get FTC’s Consumer Alerts delivered to your email inbox. Sign up at ftc.gov/ConsumerAlerts .","Did you get a call or text saying you’re eligible for thousands of dollars in unclaimed property? Don’t get excited yet. It might be a scammer looking to steal your money or personal information. Here’s how to avoid that scam — and find out if a government agency has money, stocks, or another asset that belongs to you. When a scammer calls or texts you about unclaimed funds, they might use a real-sounding (but fake) government agency name. To get your attention, they might mention a specific amount you’re (supposedly) entitled to. But this is a phishing scam . If the caller says time is running out, or the text says they’ve extended the claim period just for you, that’s a scam. If the caller asks for personal information, or an upfront “processing” fee to release the funds, that’s a scam. The government won’t call or text and ask you to pay them to search for unclaimed funds. And they won’t pressure you to respond right away. Scammers play on your fear of missing out, hoping you’ll res",1716
6914665190879b,2026-03-26,2026,3,FTC Consumer Advice - Consumer Alerts,"[""consumer_fraud""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}",Looking for debt relief? Here’s how to avoid a scam,https://consumer.ftc.gov/consumer-alerts/2026/03/looking-debt-relief-heres-how-avoid-scam,"If you’re dealing with a lot of debt, you might be looking for help. Some companies oﬀer a range of free and paid services, like budget counseling and debt management classes. But others are dishonest and will take your money for the promise of getting rid of your debt — just to leave you even worse oﬀ. So, how can you avoid scams while you’re trying to pay off your debt? When it comes to debt relief services, only scammers will tell you to pay them upfront before they settle any of your debts or enter you into a debt management plan. And anyone that guarantees to settle all your debts or get you fast loan forgiveness is a scammer. So if you get an unexpected call or text oﬀering to settle your debts fast and asking you to share personal or financial information, that’s a sure sign of a scam. Don’t respond or share any information. If you’re in debt, there are ways to get real help. Here are some things to know: Reputable credit counseling organizations should send you free information about their services before you say anything about your situation. Look for an organization that will do a thorough review of your finances and won’t charge in advance for help it hasn’t given yet. Your local credit union, university, community college, or military personal financial manager might oﬀer low-cost credit counseling programs. Before you sign up, find out how much they’ll charge. Consumer.gov has information about steps to take yourself (like making a budget ) to help you get out of debt, get help when you’re in debt , and what to know if you’re getting calls from debt collectors . If you spot a debt relief scam, tell the FTC at ReportFraud.ftc.gov .","If you’re dealing with a lot of debt, you might be looking for help. Some companies oﬀer a range of free and paid services, like budget counseling and debt management classes. But others are dishonest and will take your money for the promise of getting rid of your debt — just to leave you even worse oﬀ. So, how can you avoid scams while you’re trying to pay off your debt? When it comes to debt relief services, only scammers will tell you to pay them upfront before they settle any of your debts or enter you into a debt management plan. And anyone that guarantees to settle all your debts or get you fast loan forgiveness is a scammer. So if you get an unexpected call or text oﬀering to settle your debts fast and asking you to share personal or financial information, that’s a sure sign of a scam. Don’t respond or share any information. If you’re in debt, there are ways to get real help. Here are some things to know: Reputable credit counseling organizations should send you free information",1671
c17a04aaf03086,2026-03-24,2026,3,FTC Consumer Advice - Consumer Alerts,"[""consumer_fraud"", ""crypto_fraud""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}",How scammers are using the Iran conflict to try to steal your money and information,https://consumer.ftc.gov/consumer-alerts/2026/03/how-scammers-are-using-iran-conflict-try-steal-your-money-and-information,"With global attention focused on the conflict in Iran, it’s no surprise scammers have already added that situation to their story lines. Some recent reports to the FTC about imposter, romance, and fake charity scams include an Iran twist. The details change, but the scammer’s goal is always to trick you into paying or sharing your personal information. Here are some examples of these scams — and how to protect yourself. Scammers contact you unexpectedly about a fraudulent charge. The call or text appears to come from your bank or a company you know. They say they’ve detected charges from Iran on your account (a lie). They transfer you to someone who says they work for a government agency like the FTC (that’s another scammer) who convinces you to share your bank account information. But the truth is government agencies will never ask you to share financial information. Learn more at ftc.gov/imposters . Scammers pretending to be a friend or love interest in the military ask for money. Perhaps you’ve been chatting for a while with someone you met online. Now they tell you they’re deployed to Iran. Suddenly you get an urgent request to send them money — maybe because they can’t access their bank account or they have a medical emergency. But that’s when you know you’re likely dealing with a romance scam . Scammers create fake charities that sound and look official. They might claim to help people displaced or affected by the conflict in Iran and pressure you to donate in cash, gift cards , cryptocurrency , or wire transfers . Before you donate, go to ftc.gov/charity to learn how to research, what questions to ask, and how to spot a charity scam. Act right away if you think you’ve sent money or given your information to a scammer , and report them at ReportFraud.ftc.gov .","With global attention focused on the conflict in Iran, it’s no surprise scammers have already added that situation to their story lines. Some recent reports to the FTC about imposter, romance, and fake charity scams include an Iran twist. The details change, but the scammer’s goal is always to trick you into paying or sharing your personal information. Here are some examples of these scams — and how to protect yourself. Scammers contact you unexpectedly about a fraudulent charge. The call or text appears to come from your bank or a company you know. They say they’ve detected charges from Iran on your account (a lie). They transfer you to someone who says they work for a government agency like the FTC (that’s another scammer) who convinces you to share your bank account information. But the truth is government agencies will never ask you to share financial information. Learn more at ftc.gov/imposters . Scammers pretending to be a friend or love interest in the military ask for money. Pe",1796
c2a28a491677ea,2026-03-23,2026,3,FTC Consumer Advice - Consumer Alerts,"[""other""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}",Do you have thoughts on rental fee-related regulations? Share them with the FTC,https://consumer.ftc.gov/consumer-alerts/2026/03/do-you-have-thoughts-rental-fee-related-regulations-share-them-ftc,"Many of us use or work with rental housing in some way. Maybe you have been — or are currently — a renter. Or maybe you own a rental property, operate a property management company, or otherwise work with or around rental housing. If any of that applies to you, the FTC wants to hear from you. The FTC is asking for public comments about whether a rule is needed to help prevent unfair or deceptive fee practices in rental housing. Have you ever had to pay an unexpected fee as a renter that wasn’t in the advertised rent? If you work in the rental housing industry, do you have experiences, information, or data to share about if or how a rule might make pricing more transparent, or level the playing field for competitors? Your comments will help the FTC identify unfair or deceptive rental fee practices, understand how common they are, analyze the potential costs or benefits of a rule, and evaluate alternatives to a rule or other potential actions to supplement the rulemaking. You have until April 13, 2026 to review and comment (online or in writing) on the proposed rule. Here’s the link to comment — we hope you’ll weigh in.","Many of us use or work with rental housing in some way. Maybe you have been — or are currently — a renter. Or maybe you own a rental property, operate a property management company, or otherwise work with or around rental housing. If any of that applies to you, the FTC wants to hear from you. The FTC is asking for public comments about whether a rule is needed to help prevent unfair or deceptive fee practices in rental housing. Have you ever had to pay an unexpected fee as a renter that wasn’t in the advertised rent? If you work in the rental housing industry, do you have experiences, information, or data to share about if or how a rule might make pricing more transparent, or level the playing field for competitors? Your comments will help the FTC identify unfair or deceptive rental fee practices, understand how common they are, analyze the potential costs or benefits of a rule, and evaluate alternatives to a rule or other potential actions to supplement the rulemaking. You have until ",1135
4ec62d1619d4ef,2026-03-18,2026,3,FTC Consumer Advice - Consumer Alerts,"[""other""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}",Protecting franchisees: The FTC’s case against Xponential Fitness,https://consumer.ftc.gov/consumer-alerts/2026/03/protecting-franchisees-ftcs-case-against-xponential-fitness,"If you’re thinking about opening a franchise, you’re probably looking for things like name recognition, training, and support to help you grow your business. What you’re probably not looking for is for a franchisor to mislead you about the risks and costs of opening a franchise. That’s exactly what the FTC alleges Xponential Fitness (“Xponential”), one of the world’s largest franchisors of boutique fitness studios, did to prospective franchisees. Xponential sells franchises for several popular fitness studio brands including Club Pilates, Pure Barre, YogaSix, StretchLab, and BFT. The company has sold thousands of franchises globally and has approximately 2,500 studios currently operating in the U.S. With an initial fee averaging $45,000 — not to mention the tens of thousands of dollars required to build out and operate a studio — consumers who purchase a franchise from Xponential take on significant financial risk. In light of this risk, and to ensure that consumers looking to purchase a franchise can adequately compare potential investment opportunities, the FTC’s Franchise Rule requires sellers to provide clear and accurate information about the franchise opportunity, including information about the franchisor’s executives, the litigation and bankruptcy history for both the franchisor and its executives, and how long it takes for an Xponential franchise to get off the ground. In its complaint , the FTC alleges that over several years Xponential deceived potential franchisees by: Claiming that franchisees typically get their studios up and running within six months of signing the franchise agreement. In truth, the FTC alleges, it generally takes more than a year (if the franchise opens at all). Failing to disclose key details about Xponential’s executives and ongoing litigation (for example, that Xponential’s former CEO Anthony Geisler — who had been repeatedly sued for fraud — was involved in the sale or operation of franchises). Misreporting the names and contact information of franchisees whose studios had ceased operating within the past year. Failing to provide the legally required Franchise Disclosure Document at least 14 days before prospective franchisees sign the franchise agreement. As a result, prospective franchisees often agreed to expensive, long-term agreements — and to incur costs like rental payments on a studio, payroll, and more — without having received legally mandated, accurate, and complete information on the true risks and costs of opening an Xponential franchise. To settle allegations that Xponential violated the FTC Act and the FTC’s Franchise Rule, the company will pay $17 million to affected franchisees. Xponential is also prohibited from making misrepresentations to potential franchisees in the future. Do you franchise your business? Check out ftc.gov/franchise for everything you need to know about complying with the law and remember: Give potential franchisees accurate and complete information . Franchisors must provide prospective franchisees with a Franchise Disclosure Document that includes truthful information on, for example, the costs and risks of opening and operating a franchise. Provide disclosures on time . Franchisors must give prospective purchasers the accurate Franchise Disclosure Document at least 14 days before the prospect signs a contract or makes any payments to the franchisor. The FTC is monitoring the space . The agency will continue to act to protect American workers from those who disobey the law, in alignment with the FTC’s Labor Task Force launched by Chairman Andrew N. Ferguson in February 2025.","If you’re thinking about opening a franchise, you’re probably looking for things like name recognition, training, and support to help you grow your business. What you’re probably not looking for is for a franchisor to mislead you about the risks and costs of opening a franchise. That’s exactly what the FTC alleges Xponential Fitness (“Xponential”), one of the world’s largest franchisors of boutique fitness studios, did to prospective franchisees. Xponential sells franchises for several popular fitness studio brands including Club Pilates, Pure Barre, YogaSix, StretchLab, and BFT. The company has sold thousands of franchises globally and has approximately 2,500 studios currently operating in the U.S. With an initial fee averaging $45,000 — not to mention the tens of thousands of dollars required to build out and operate a studio — consumers who purchase a franchise from Xponential take on significant financial risk. In light of this risk, and to ensure that consumers looking to purchase",3617
