doc_id,url,title,published_raw,body_1,source,published,date,published_year,published_month,fraud_tags,fraud_signals
7734181c6814d1,https://www.outseer.com/blog/notable-fraud-trends-in-2022-insights-from-outseer-fraudactions-threat-intelligence-team/,Notable Fraud Trends in 2022: Insights from Outseer FraudAction’s Threat Intelligence Team,2025-09-15,"Recent Articles Five Principles for Effective Real-Time Money Mule Detection in Fraud Prevention The New Era of Phishing: AI on Both Sides of the Battle Why False Pretenses Matter in the Fight Against Payment Scams 2026 Nacha Rule Change: Proactive Fraud Monitoring of ACH Now a Requirement The State of Global Scam Prevention: Regulatory Gaps, FI Challenges, and Solutions for 2026",Outseer,2025-09-15 00:00:00+00:00,2025-09-15,2025.0,9.0,"[""consumer_fraud"", ""cybercrime"", ""money_laundering""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}"
f46c758f6d3878,https://www.outseer.com/blog/insights-from-outseers-global-fraud-scams-trends-report/,Insights from Outseer’s Global Fraud & Scams Trends Report,2025-09-11,"Recent Articles Five Principles for Effective Real-Time Money Mule Detection in Fraud Prevention The New Era of Phishing: AI on Both Sides of the Battle Why False Pretenses Matter in the Fight Against Payment Scams 2026 Nacha Rule Change: Proactive Fraud Monitoring of ACH Now a Requirement The State of Global Scam Prevention: Regulatory Gaps, FI Challenges, and Solutions for 2026",Outseer,2025-09-11 00:00:00+00:00,2025-09-11,2025.0,9.0,"[""consumer_fraud"", ""cybercrime"", ""money_laundering""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}"
a1902a51e8db69,https://www.outseer.com/blog/fraud-monitoring/,Fraud Monitoring: Why Every Company Needs It,2025-09-10,"Recent Articles Five Principles for Effective Real-Time Money Mule Detection in Fraud Prevention The New Era of Phishing: AI on Both Sides of the Battle Why False Pretenses Matter in the Fight Against Payment Scams 2026 Nacha Rule Change: Proactive Fraud Monitoring of ACH Now a Requirement The State of Global Scam Prevention: Regulatory Gaps, FI Challenges, and Solutions for 2026",Outseer,2025-09-10 00:00:00+00:00,2025-09-10,2025.0,9.0,"[""consumer_fraud"", ""cybercrime"", ""money_laundering""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}"
3f4a54eaea6bd5,https://www.outseer.com/blog/uk-scams-social-engineering-and-app-fraud/,"How Outseer Safeguards Against UK Scams, Social Engineering, and Authorized Push Payment (APP) Fraud",2025-09-10,"Recent Articles Five Principles for Effective Real-Time Money Mule Detection in Fraud Prevention The New Era of Phishing: AI on Both Sides of the Battle Why False Pretenses Matter in the Fight Against Payment Scams 2026 Nacha Rule Change: Proactive Fraud Monitoring of ACH Now a Requirement The State of Global Scam Prevention: Regulatory Gaps, FI Challenges, and Solutions for 2026",Outseer,2025-09-10 00:00:00+00:00,2025-09-10,2025.0,9.0,"[""consumer_fraud"", ""cybercrime"", ""money_laundering""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}"
6ac4c899cfe76a,https://www.outseer.com/blog/outseer-3-d-secure-empowering-the-fight-against-scams/,Unlock the Power of Outseer 3-D Secure ACS: Empowering the Fight Against Scams,2025-09-10,"Recent Articles Five Principles for Effective Real-Time Money Mule Detection in Fraud Prevention The New Era of Phishing: AI on Both Sides of the Battle Why False Pretenses Matter in the Fight Against Payment Scams 2026 Nacha Rule Change: Proactive Fraud Monitoring of ACH Now a Requirement The State of Global Scam Prevention: Regulatory Gaps, FI Challenges, and Solutions for 2026",Outseer,2025-09-10 00:00:00+00:00,2025-09-10,2025.0,9.0,"[""consumer_fraud"", ""cybercrime"", ""money_laundering""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}"
8b62f57cd86464,https://www.outseer.com/blog/scam-mitigation-quick-guide-your-journey-to-protection/,Scam Mitigation Quick Guide: Your Journey to Protection,2025-09-15,"Recent Articles Five Principles for Effective Real-Time Money Mule Detection in Fraud Prevention The New Era of Phishing: AI on Both Sides of the Battle Why False Pretenses Matter in the Fight Against Payment Scams 2026 Nacha Rule Change: Proactive Fraud Monitoring of ACH Now a Requirement The State of Global Scam Prevention: Regulatory Gaps, FI Challenges, and Solutions for 2026",Outseer,2025-09-15 00:00:00+00:00,2025-09-15,2025.0,9.0,"[""consumer_fraud"", ""cybercrime"", ""money_laundering""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}"
673444e1776a3f,https://www.outseer.com/blog/following-the-fraud-new-research-about-money-mule-networks/,Following the Fraud: What New UK Research Reveals About Money Mule Networks,,"Recent Articles Five Principles for Effective Real-Time Money Mule Detection in Fraud Prevention The New Era of Phishing: AI on Both Sides of the Battle Why False Pretenses Matter in the Fight Against Payment Scams 2026 Nacha Rule Change: Proactive Fraud Monitoring of ACH Now a Requirement The State of Global Scam Prevention: Regulatory Gaps, FI Challenges, and Solutions for 2026",Outseer,,,,,"[""consumer_fraud"", ""cybercrime"", ""money_laundering""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}"
df5a9f2c85dfd5,https://www.outseer.com/blog/new-era-of-phishing-ai-both-sides/,The New Era of Phishing: AI on Both Sides of the Battle,,"Recent Articles Five Principles for Effective Real-Time Money Mule Detection in Fraud Prevention The New Era of Phishing: AI on Both Sides of the Battle Why False Pretenses Matter in the Fight Against Payment Scams 2026 Nacha Rule Change: Proactive Fraud Monitoring of ACH Now a Requirement The State of Global Scam Prevention: Regulatory Gaps, FI Challenges, and Solutions for 2026",Outseer,,,,,"[""consumer_fraud"", ""cybercrime"", ""money_laundering""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}"
030d6a464355c3,https://www.outseer.com/press-release/real-time-payments-and-app-fraud-emerging-globally/,Real-time Payments and APP Fraud Emerging Globally According to New Aite-Novarica Group and Outseer Report,2023-06-04,"BEDFORD, MA – May 10, 2023 – Outseer, a leading provider of digital fraud prevention and customer authentication solutions, announced today the availability of new global research conducted by the Aite-Novarica Group focused on global trends in real-time payments (RTP) and associated fraud. The research shows that 71% of financial institutions (FIs) indicated an increase in consumer account takeover (ATO) using RTP rails from 2021 to 2022, and 62% of financial institutions said that consumer authorized push payment (APP) fraud via RTP rails had increased in the same period. 57% of FIs indicated mule account activity over RTP rails was up in 2022 vs. 2021. “A layered approach for fraud mitigation that combines authentication and payment fraud prevention is more important than ever to effectively mitigate RTP fraud,” says John Filby, Outseer CEO. Additional insights and recommendations include: Learn more about the study findings and how the Outseer platform can help your organization mitigate RTP fraud by getting a copy of the report, Faster Payments, Faster Fraud , or register for the June 6th webinar with Julie Conroy, Aite-Novarica Group’s Head of Risk Insights and Advisory, and Scott Olson, CMO of Outseer. Aite-Novarica Group report, sponsored by Outseer, surveyed fraud executives at large FIs in February and March 2023 in Brazil, Canada, India, the U.K., and the U.S. to understand the trends associated with fraud on faster payment rails. Aite-Novarica Group augmented these efforts by examining the progression of faster payments in each market. Outseer is the global market leader in fraud prevention solutions that enable financial institutions to reduce fraud losses and operational costs while improving customer experience. Leveraging our 20-year history as RSA Fraud & Risk Intelligence, Outseer continues to innovate, protecting digital transactions from ever-evolving fraud threats. Outseer achieves this through our experienced global team, with employees in over 15 countries. Our proven AI-based platform leverages unique data science built on decades of global transaction data, including our proprietary consortium data, and intelligently orchestrates diverse data signals and authentication flows. Trusted by thousands of customers in over 50 countries, including hundreds of the world’s largest financial institutions, our solutions safeguard millions of accounts, billions of transactions, and trillions of dollars annually. Outseer is backed by established private equity investors that share our vision for liberating the world from transaction fraud. To learn more about how Outseer delivers fraud solutions that Stop Fraud Not Customers ® , visit outseer.com . Aite-Novarica Group is an advisory firm providing mission-critical insights on technology, regulations, markets, and operations to hundreds of banks, insurers, payments providers, and investment firms—as well as the technology and service providers that support them. Comprising former senior technology, strategy, and operations executives as well as experienced researchers and consultants, our experts provide actionable advice to our client base, leveraging deep insights developed via our extensive network of clients and other industry contacts. Visit us on the web and connect with us on LinkedIn . Outseer Media Contacts: Scott Olson scott.olson@outseer.com",Outseer,2023-06-04 00:00:00+00:00,2023-06-04,2023.0,6.0,"[""identity_fraud"", ""money_laundering""]","{""urls"": [], ""domains"": [], ""emails"": [""scott.olson@outseer.com""], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}"
6927bb2a876382,https://www.outseer.com/press-release/outseer-fraudaction-introduces-intelligence-alerts-to-dashboard-intelligence-feeds/,Outseer FraudAction Introduces Intelligence Alerts to Dashboard Intelligence Feeds,,"BEDFORD, MA – November 13, 2023 – Outseer, a leading provider in solutions that defend against fraud, today announced enhancements to its FraudAction dashboard. This update includes new Intelligence Alerts, with deeper intelligence from the Outseer Anti-Fraud Command Center (AFCC). The new alerts will aid fraud advisors in providing more detailed reports based on customer-specific investigations. With access to this intelligence, financial institutions can make better-informed decisions regarding their risk management strategies, for more effective mitigation of potential threats and vulnerabilities. With this update, the new category, called “Intelligence Alerts,” is introduced in the Intelligence Feeds search section in the FraudAction Dashboard. These alerts are reports on findings retrieved during customer-specific investigations within fraud and cybercriminal communication channels and open sources. FraudAction customers can download the Intelligence Alerts files for each record separately for offline investigation. The new Intelligence Alerts ensure that the intelligence gathered by the AFCC is timely, relevant, and actionable for each individual customer, therefore addressing their unique threat landscape. By receiving these Intelligence Alerts, financial institutions can detect potential threats earlier. This proactive approach allows them to take preventive measures before the threats escalate, significantly reducing the risk and impact of fraud and cyber-attacks. “Our FraudAction service pioneered brand protection, threat monitoring and takedown services and it continues that tradition of innovation today,” said Yogesh Patel, Chief Technology Officer at Outseer. “The expertise and tenure in leveraging intelligence gathering from cybercriminal communications channels offers unmatched intelligence on threats targeting our customers. We ensure this information is delivered as quickly as possible to our customers and this recent enhancement furthers that goal. The relationships built over 20 years with a global network of over 17,000 ISPs, hosting authorities, international law-enforcement agencies, and other entities allow Outseer to offer the most comprehensive threat monitoring and takedown service in the world.” To learn more about how Outseer delivers fraud solutions that work for you, visit outseer.com . Outseer is the global market leader in fraud prevention solutions that enable financial institutions to reduce fraud losses and operational costs while improving customer experience. Leveraging our 20-year history as RSA Fraud & Risk Intelligence, Outseer continues to innovate, protecting digital transactions from ever-evolving fraud threats. Outseer achieves this through our experienced global team, with employees in over 15 countries. Our proven AI-based platform leverages unique data science built on decades of global transaction data, including our proprietary consortium data, and intelligently orchestrates diverse data signals and authentication flows. Trusted by thousands of customers in over 50 countries, including hundreds of the world’s largest financial institutions, our solutions safeguard millions of accounts, billions of transactions, and trillions of dollars annually. Outseer is backed by established private equity investors that share our vision for liberating the world from transaction fraud. To learn more about how Outseer delivers fraud solutions that Stop Fraud Not Customers ® , visit outseer.com .",Outseer,,,,,"[""other""]","{""urls"": [], ""domains"": [], ""emails"": [], ""phones"": [], ""ip_addresses"": [], ""crypto_wallets"": []}"
